"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Peru,"4,495,182",,"219,882                                ",,"4,272,249",+462,"3,051",36,"133,451","6,528","38,385,375","1,139,566","33,684,208 ",South America,7,153,1,,,91
Switzerland,"4,399,088",,"14,452                                ",,"4,378,012",,"6,624",39,"501,398","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,755
Philippines,"4,083,842",+179,"66,425                                ",+5,"4,008,022",+257,"9,395",162,"36,298",590,"34,876,958","309,993","112,508,994 ",Asia,28,"1,694",3,2,0.04,84
South Africa,"4,075,101",,"102,595                                ",,"3,912,506",,"60,000",192,"67,073","1,689","26,795,090","441,027","60,756,135 ",Africa,15,592,2,,,988
Romania,"3,380,891","+6,066","67,961                                ",+44,"3,291,922",,"21,008",132,"177,649","3,571","27,131,523","1,425,624","19,031,335 ",Europe,6,280,1,319,2,"1,104"
Denmark,"3,178,960",,"8,420                                ",,"3,169,399",+80,"1,141",19,"544,814","1,443","129,246,682","22,150,435","5,834,950 ",Europe,2,693,0,,,196
Hong Kong,"2,885,724",+95,"13,486                                ",+1,"2,870,215",+43,"2,023",28,"379,486","1,773","76,127,725","10,011,143","7,604,299 ",Asia,3,564,0,12,0.1,266
Sweden,"2,702,703",,"23,912                                ",,"2,675,576",+147,"3,215",8,"264,479","2,340","19,500,873","1,908,301","10,218,971 ",Europe,4,427,1,,,315
Serbia,"2,524,670",+745,"17,996                                ",,"2,494,165","+1,984","12,509",10,"291,768","2,080","12,683,490","1,465,788","8,653,016 ",Europe,3,481,1,86,,"1,446"
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16
Singapore,"2,298,689",,"1,727                                ",,"2,149,583",,"147,379",2,"386,754",291,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,442",0,,,"24,796"
New Zealand,"2,274,370",,"4,015                                ",,"2,259,509",,"10,846",,"464,327",820,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,220",1,,,"2,214"
Hungary,"2,199,764",,"48,811                                ",,"2,146,693",,"4,260",3,"228,993","5,081","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,443
Bangladesh,"2,038,053",,"29,446                                ",,"1,998,448",,"10,159",N/A,"12,140",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,701",11,,,61
Slovakia,"1,865,818",+9,"21,123                                ",+2,"1,843,947",+12,748,17,"341,713","3,869","7,420,931","1,359,097","5,460,193 ",Europe,3,258,1,2,0.4,137
Georgia,"1,833,502",,"17,019                                ",,"1,776,548",,"39,935",,"461,986","4,288","16,920,079","4,263,340","3,968,738 ",Asia,2,233,0,,,"10,062"
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181
Ireland,"1,708,435",,"8,782                                ",,"1,695,720",,"3,933",14,"340,312","1,749","13,079,341","2,605,343","5,020,199 ",Europe,3,572,0,,,783
Pakistan,"1,580,153",+28,"30,652                                ",,"1,538,689",,"10,812",10,"6,886",134,"30,570,862","133,213","229,488,994 ",Asia,145,"7,487",8,0.1,,47
Norway,"1,481,760",+36,"5,213                                ",,"1,475,320",+51,"1,227",20,"268,855",946,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,057",1,7,,223
Finland,"1,468,123",,"9,097                                ",,"1,455,544",+134,"3,482",21,"264,290","1,638","12,069,254","2,172,699","5,554,960 ",Europe,4,611,0,,,627
Kazakhstan,"1,410,430",+79,"13,848                                ",,"1,383,020",,"13,562",24,"73,441",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,4,,706
Slovenia,"1,342,068",+25,"7,100                                ",,"1,328,006",,"6,962",8,"645,835","3,417","2,847,701","1,370,382","2,078,034 ",Europe,2,293,1,12,,"3,350"
Lithuania,"1,316,056",+17,"9,644                                ",,"1,301,845",+585,"4,567",9,"494,440","3,623","10,422,080","3,915,561","2,661,708 ",Europe,2,276,0,6,,"1,716"
Bulgaria,"1,301,475",+248,"38,282                                ",+5,"1,260,290",+197,"2,903",36,"190,146","5,593","11,143,340","1,628,049","6,844,597 ",Europe,5,179,1,36,0.7,424
Morocco,"1,272,679",,"16,296                                ",,"1,256,151",,232,3,"33,693",431,"13,001,033","344,191","37,772,756 ",Africa,30,"2,318",3,,,6
Croatia,"1,270,891",,"18,069                                ",,"1,252,329",,493,4,"313,082","4,451","5,553,846","1,368,183","4,059,286 ",Europe,3,225,1,,,121
Guatemala,"1,245,794",+12,"20,188                                ",,"1,224,766",+18,840,5,"67,036","1,086","7,129,462","383,634","18,584,039 ",North America,15,921,3,0.6,,45
Lebanon,"1,235,453",+276,"10,881                                ",+7,"1,087,587",,"136,985",74,"184,814","1,628","4,795,578","717,380","6,684,849 ",Asia,5,614,1,41,1,"20,492"
Costa Rica,"1,226,248",,"9,326                                ",,"860,711",,"356,211",52,"236,620","1,800","4,659,757","899,158","5,182,354 ",North America,4,556,1,,,"68,735"
Bolivia,"1,196,261",+98,"22,375                                ",,"1,164,926",+240,"8,960",220,"99,749","1,866","2,705,422","225,590","11,992,656 ",South America,10,536,4,8,,747
Tunisia,"1,152,033",,"29,363                                ",,N/A,N/A,N/A,44,"95,631","2,437","5,006,704","415,609","12,046,656 ",Africa,10,410,2,,,"1,052"
Cuba,"1,112,915",+14,"8,530                                ",,"1,104,286",+6,99,2,"98,439",754,"14,324,663","1,267,036","11,305,652 ",North America,10,"1,325",1,1,,9
Ecuador,"1,059,529",,"36,017                                ",,"1,022,992",,520,759,"58,494","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,29
UAE,"1,058,979",,"2,349                                ",,"1,040,046",,"16,584",,"105,039",233,"199,952,464","19,833,042","10,081,785 ",Asia,10,"4,292",0,,,"1,645"
Uruguay,"1,036,159",,"7,621                                ",,"1,027,930",,608,18,"296,383","2,180","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,174
Panama,"1,034,730",,"8,612                                ",,"1,025,167",,951,16,"232,682","1,937","7,609,800","1,711,235","4,446,964 ",North America,4,516,1,,,214
Mongolia,"1,007,915",,"2,179                                ",,"1,005,728",,8,192,"298,369",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,,,2
Nepal,"1,001,877",+77,"12,020                                ",,"989,413",+29,444,,"33,147",398,"6,024,251","199,310","30,225,582 ",Asia,30,"2,515",5,3,,15
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141
Latvia,"977,060",,"6,291                                ",,"970,327",,442,13,"528,473","3,403","7,870,456","4,256,977","1,848,837 ",Europe,2,294,0,,,239
